doc_id,oracle_url,best_candidate_url,hf_loc,candidates_count,best_candidate_simscore,best_candidate_offby,bc_offby_s,bc_offby_e,top1_simscore,top3_simscore,top5_simscore,top1_offby,top3_offby,top5_offby,1pc_tol,2pc_tol,3pc_tol
64dead40be9ffd545ddd65a4,https://github.com/JetBrains/intellij-community/tree/405abc6878abe05f755a5a0a349a880139b9163e/plugins/maven/src/test/java/org/jetbrains/idea/maven/dom/MavenFilteredPropertiesCompletionAndResolutionTest.java#L527-L552,https://github.com/JetBrains/intellij-community/tree/405abc6878abe05f755a5a0a349a880139b9163e/plugins/maven/src/test/java/org/jetbrains/idea/maven/dom/MavenFilteredPropertiesCompletionAndResolutionTest.java#L527-L552,45,12,0,0,0,0,0,0,0,0,0,0,0,0,1
64dead40be9ffd545ddd65a5,https://github.com/JetBrains/intellij-community/tree/405abc6878abe05f755a5a0a349a880139b9163e/plugins/maven/src/test/java/org/jetbrains/idea/maven/dom/MavenFilteredPropertiesCompletionAndResolutionTest.java#L573-L598,https://github.com/JetBrains/intellij-community/tree/405abc6878abe05f755a5a0a349a880139b9163e/plugins/maven/src/test/java/org/jetbrains/idea/maven/dom/MavenFilteredPropertiesCompletionAndResolutionTest.java#L573-L598,40,10,0,0,0,0,0,0,0,0,0,0,0,0,1
64dead40be9ffd545ddd65a6,https://github.com/JetBrains/intellij-community/tree/405abc6878abe05f755a5a0a349a880139b9163e/plugins/maven/src/test/java/org/jetbrains/idea/maven/dom/MavenFilteredPropertiesCompletionAndResolutionTest.java#L612-L630,https://github.com/JetBrains/intellij-community/tree/405abc6878abe05f755a5a0a349a880139b9163e/plugins/maven/src/test/java/org/jetbrains/idea/maven/dom/MavenFilteredPropertiesCompletionAndResolutionTest.java#L612-L630,44,3,0,0,0,0,0,0,0,0,0,0,0,0,1
64dead40be9ffd545ddd65a7,https://github.com/JetBrains/intellij-community/tree/c46c667b1ba59319b7a836f7f1b6f9b291c9098d/java/java-impl-refactorings/src/com/intellij/refactoring/extractMethod/ExtractMethodRecommenderInspection.java#L440-L441,https://github.com/JetBrains/intellij-community/tree/c46c667b1ba59319b7a836f7f1b6f9b291c9098d/java/java-impl-refactorings/src/com/intellij/refactoring/extractMethod/ExtractMethodRecommenderInspection.java#L441-L441,9,3,0,1,-1,0,0,0,0,4,1,1,0,0,0
64dead40be9ffd545ddd65a8,https://github.com/JetBrains/intellij-community/tree/757709afe0f29500f4dfb3a06721a8f9ccf59936/java/execution/openapi/src/com/intellij/execution/filters/ExceptionInfo.java#L166-L172,https://github.com/JetBrains/intellij-community/tree/757709afe0f29500f4dfb3a06721a8f9ccf59936/java/execution/openapi/src/com/intellij/execution/filters/ExceptionInfo.java#L167-L171,12,2,0,2,-1,-1,0,0,0,2,2,2,0,0,0
64dead40be9ffd545ddd65a9,https://github.com/JetBrains/intellij-community/tree/e288f74d8ec26be00ccd6a7867a823efbb4e5d2e/platform/analysis-api/src/com/intellij/codeInsight/intention/preview/IntentionPreviewInfo.java#L273-L276,https://github.com/JetBrains/intellij-community/tree/e288f74d8ec26be00ccd6a7867a823efbb4e5d2e/platform/analysis-api/src/com/intellij/codeInsight/intention/preview/IntentionPreviewInfo.java#L272-L287,31,3,0,12,1,11,0,0,0,12,12,12,0,0,0
64dead40be9ffd545ddd65aa,https://github.com/JetBrains/intellij-community/tree/bfc48ae9b01d72a65552f635e919e73d198613ed/platform/analysis-api/src/com/intellij/codeInsight/intention/preview/IntentionPreviewInfo.java#L244-L249,https://github.com/JetBrains/intellij-community/tree/bfc48ae9b01d72a65552f635e919e73d198613ed/platform/analysis-api/src/com/intellij/codeInsight/intention/preview/IntentionPreviewInfo.java#L244-L249,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0
64dead40be9ffd545ddd65ab,https://github.com/JetBrains/intellij-community/tree/588ff74624c872958e8a84e63a10157be89f83da/plugins/maven/src/test/java/org/jetbrains/idea/maven/dom/MavenFilteredPropertiesCompletionAndResolutionTest.java#L646-L648,https://github.com/JetBrains/intellij-community/tree/588ff74624c872958e8a84e63a10157be89f83da/plugins/maven/src/test/java/org/jetbrains/idea/maven/dom/MavenFilteredPropertiesCompletionAndResolutionTest.java#L646-L648,46,5,0,0,0,0,0,0,0,22,0,0,0,0,1
64dead40be9ffd545ddd65ad,https://github.com/JetBrains/intellij-community/tree/eb1926d9e3b835d96da6b1efc4fc2b3c57aecb61/platform/platform-impl/src/com/intellij/openapi/vfs/ex/temp/TempFileSystem.java#L57-L61,https://github.com/JetBrains/intellij-community/tree/eb1926d9e3b835d96da6b1efc4fc2b3c57aecb61/platform/platform-impl/src/com/intellij/openapi/vfs/ex/temp/TempFileSystem.java#L59-L60,9,4,0,3,-2,-1,0,0,0,3,3,3,0,0,0
64dead40be9ffd545ddd65ae,https://github.com/JetBrains/intellij-community/tree/eb1926d9e3b835d96da6b1efc4fc2b3c57aecb61/platform/platform-impl/src/com/intellij/openapi/vfs/ex/temp/TempFileSystem.java#L105-L109,https://github.com/JetBrains/intellij-community/tree/eb1926d9e3b835d96da6b1efc4fc2b3c57aecb61/platform/platform-impl/src/com/intellij/openapi/vfs/ex/temp/TempFileSystem.java#L105-L109,9,3,0,0,0,0,0,0,0,3,0,0,0,0,0
